DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Goldstein,ALP,Australian Labor Party,ABBOTT,Martyn
Calwell,GVIC,The Greens,ABBOUD,Natalie
Tangney,GRN,The Greens (WA),ABDUL RAZAK,Adam
La Trobe,LDP,Liberal Democrats,ABELMAN,Michael
La Trobe,ALP,Australian Labor Party,ABHIMANYU KUMAR,
Corangamite,UAPP,United Australia Party,ABOU-ZEID,Daniel William
Flinders,LDP,Liberal Democrats,ABRAHAM,Chrysten
Groom,ON,Pauline Hanson's One Nation,ABRAHAM,Grant
Hume,IND,Independent,ACKERY,Penny
Corio,AJP,Animal Justice Party,ADAMS,Naomi
Bennelong,GRN,The Greens,ADAMS,Tony
Lingiari,IND,Independent,ADAMSON AGARS,Imelda
Pearce,LP,Liberal,AITKEN,Linda
Forrest,GAP,The Great Australian Party,AITKEN,Tracy Nyree
Watson,LP,Liberal,AKTER,Sazeda
Grayndler,ALP,Labor,ALBANESE,Anthony
Scullin,UAPP,United Australia Party,ALBARRI,Yassin
Indi,AJP,Animal Justice Party,ALEKSOV,Angel
Forrest,UAPP,United Australia Party,ALLAN,Helen
Higgins,LP,Liberal,ALLEN,Katie
Groom,ALP,Australian Labor Party,ALLPASS,Gen
Sturt,ON,Pauline Hanson's One Nation,ALLWOOD,Alexander
Adelaide,ON,Pauline Hanson's One Nation,ALLWOOD,Gayle
Adelaide,UAPP,United Australia Party,ALLWOOD,Sean
Cowan,ALP,Australian Labor Party,ALY,Anne
Bean,ON,Pauline Hanson's One Nation,AMBARD,Benjamin
Holt,ON,Pauline Hanson's One Nation,AMBARD,Sandy
Cowan,AJP,Animal Justice Party,ANAGNO,Michael
Higgins,ALP,Australian Labor Party,ANANDA-RAJAH,Michelle
Kooyong,IND,Independent,ANDERSON,Will
Moore,GAP,The Great Australian Party,ANDERSSON,Sue
Fisher,ALP,Australian Labor Party,ANDREWS,Judene
McPherson,LNP,Liberal National Party of Queensland,ANDREWS,Karen
Sydney,LP,Liberal,ANDRUSKA,Alexander
Macnamara,ON,Pauline Hanson's One Nation,ANNE,Debera
Maribyrnong,CYA,Australian Federation Party,ANSALONE,Alexander Anthony
Chisholm,CYA,Australian Federation Party,ANTONIE,Anthea
Bass,LP,Liberal,ARCHER,Bridget Kathleen
Wide Bay,GRN,Queensland Greens,ARMSTRONG,Craig
North Sydney,GRN,The Greens,ARMSTRONG,Heather
Corangamite,LP,Liberal,ASHER,Stephanie
Cowper,ON,Pauline Hanson's One Nation,ASPIOTIS,Faye
Greenway,GRN,The Greens,ATKINS,Damien
Cooper,LP,Liberal,ATKINSON,Jadon
Mallee,ON,Pauline Hanson's One Nation,ATKINSON,Vanessa
Lyne,GRN,The Greens,ATTENBOROUGH,Karl
Lyne,IND,Independent,ATTKINS,Steve
Bennelong,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",AUGUST,John
Fairfax,IND,Independent,AUSTRALIE,Sinim Barbara
Parkes,ALP,Labor,AYOUB,Jack
Bruce,UAPP,United Australia Party,BABET,Matt
Perth,ON,Pauline Hanson's One Nation,BAILEY,Cameron
Paterson,LDP,Liberal Democrats,BAILEY,Sonia
Hume,ALP,Labor,BAINES,Greg
Reid,IND,Independent,BAINI,Natalie
Bass,AJP,Animal Justice Party,BAKER,Alison
Mallee,IND,Independent,BALDWIN,Sophie
Mackellar,UAPP,United Australia Party,BALL,Christopher Thomas
Herbert,GAP,The Great Australian Party,BALLARD,Larna
Flynn,GRN,Queensland Greens,BAMBRICK,Paul
Wright,CYA,Australian Federation Party,BANASIAK,Shonna-Lee
Melbourne,GVIC,The Greens,BANDT,Adam
Cooper,AJP,Animal Justice Party,BANGAAR,Rabin
Groom,UAPP,United Australia Party,BANNISTER,Melissa
Bendigo,LDP,Liberal Democrats,BANSEMER,Matt
Sturt,ALP,Australian Labor Party,BARAM,Sonja
O'Connor,GAP,The Great Australian Party,BARBER,Brenden
Lalor,LDP,Liberal Democrats,BARCATTA,Patrizia
McEwen,GVIC,The Greens,BARKER,Neil
Corangamite,LDP,Liberal Democrats,BARKER,Paul
Dobell,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",BARNES,Geoff
Ballarat,GVIC,The Greens,BARNES,John
Deakin,CYA,Australian Federation Party,BASTIN,Samantha
Franklin,TLOC,The Local Party,BATEMAN,Anna
Brisbane,GRN,Queensland Greens,BATES,Stephen
Chifley,ON,Pauline Hanson's One Nation,BATISH,Amit
Dickson,GRN,Queensland Greens,BATTEN,Vinnie
Spence,CYA,Australian Federation Party,BAWDEN,Matilda
Leichhardt,AJP,Animal Justice Party,BAYLY,Susanne
Isaacs,LP,Liberal,BEATON,Robbie
Canning,WAP,WESTERN AUSTRALIA PARTY,BEDFORD,Brad
Moncrieff,LNP,Liberal National Party of Queensland,BELL,Angie
Mayo,ALP,Australian Labor Party,BELL,Marisa
Richmond,ON,Pauline Hanson's One Nation,BELL-HENSELIN,Tracey
Casey,UAPP,United Australia Party,BELLVE,Anthony Sebastian
Calwell,CYA,Australian Federation Party,BENGTSSON,Maria
Wide Bay,UAPP,United Australia Party,BENNETT,Tracy
Dunkley,IND,Independent,BERGWERF,Darren
McPherson,UAPP,United Australia Party,BERRIGAN,Joshua Lawrence
Groom,GRN,Queensland Greens,BERRY,Mickey
Moncrieff,AJP,Animal Justice Party,BERRY-LAW,Sonia Michelle
Maribyrnong,UAPP,United Australia Party,BESANKO,Darren
O'Connor,WAP,WESTERN AUSTRALIA PARTY,BESSANT,Morris
Hotham,LP,Liberal,BEVINAKOPPA,Savitri
Blair,LNP,Liberal National Party of Queensland,BIGGINS,Sam
Richmond,LDP,Liberal Democrats,BIGGS,Gary
Hawke,IND,Independent,BINGHAM,Jarrod James
Nicholls,NP,The Nationals,BIRRELL,Sam
Wills,VNS,Victorian Socialists,BLACK,Emma
Durack,NP,The Nationals,BLAYNEY,Ian
Mayo,LP,Liberal,BLUCK,Allison
Braddon,UAPP,United Australia Party,BOBBERMIEN,Darren Scott
Lalor,GVIC,The Greens,BODDEKE,Jack
Bradfield,IND,Independent,BOELE,Nicolette
Canberra,IND,Independent,BOHM,Tim
Melbourne,VNS,Victorian Socialists,BOLGER,Colleen
Wills,SAL,Socialist Alliance,BOLTON,Sue
Solomon,LDP,Liberal Democrats,BONANNI,Kylie
Hunter,IND,Independent,BONDS,Stuart
Werriwa,ON,Pauline Hanson's One Nation,BOOKE,Adam Paul
Jagajaga,ON,Pauline Hanson's One Nation,BOOKER,John
Melbourne,UAPP,United Australia Party,BORG,Justin
Robertson,CEC,Citizens Party,BORTHWICK,Paul
Greenway,IND,Independent,BOSI,Riccardo Umberto Guerrino
Berowra,ON,Pauline Hanson's One Nation,BOSMA,Rhiannon
North Sydney,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,BOURKE,William
Kingston,LP,Liberal,BOURNE,Kathleen
McMahon,ALP,Labor,BOWEN,Chris
Lyons,LP,Liberal,BOWER,Susie
Flynn,LNP,Liberal National Party of Queensland,BOYCE,Colin
