state,PartyAB,PartyNm,Surname,GivenNm
ACT,,Australian Labor Party,GALLAGHER,Katy
ACT,,Australian Labor Party,NORTHAM,Maddy
ACT,,Sustainable Australia Party - Stop Overdevelopment / Corruption,ANGEL,Joy
ACT,,Sustainable Australia Party - Stop Overdevelopment / Corruption,HAYDON,John
ACT,,United Australia Party,SAVOULIDIS,James
ACT,,United Australia Party,PAGE,Tracey
ACT,,Liberal,SESELJA,Zed
ACT,,Liberal,LAM,Kacey
ACT,,David Pocock,POCOCK,David
ACT,,David Pocock,DOUBE,Clare
ACT,,Kim for Canberra,RUBENSTEIN,Kim
ACT,,Kim for Canberra,HUYNH,Kim
ACT,,Australian Progressives,FAULKNER,Therese
ACT,,Australian Progressives,LIN,Stephen
ACT,,The Greens,GORENG GORENG,Tjanara
ACT,,The Greens,CRUZ,James
ACT,,Legalise Cannabis Australia,KATELARIS,Andrew
ACT,,Legalise Cannabis Australia,STANVIC,Michelle
ACT,,Animal Justice Party,del VALLE,Yana
ACT,,Animal Justice Party,FAHIZ,Jannah
ACT,,Informed Medical Options Party,SIMMS,Michael
ACT,,Informed Medical Options Party,LIDDICOAT,Mary-Jane
ACT,,Independent,LI,Fuxin
NSW,,Animal Justice Party,BROLLO,Darren
NSW,,Animal Justice Party,POWER,Julie
NSW,,TNL,KEEN,Steve
NSW,,TNL,GREEN,Melissa
NSW,,Citizens Party,LIU,Kingsley
NSW,,Citizens Party,LAWLER,Ann
NSW,,Sustainable Australia Party - Stop Overdevelopment / Corruption,LAMB,Georgia
NSW,,Sustainable Australia Party - Stop Overdevelopment / Corruption,DE VIVE,Suzanne
NSW,,The Greens,SHOEBRIDGE,David
NSW,,The Greens,COHN,Amanda
NSW,,The Greens,FLOOD,Rochelle
NSW,,The Greens,SCOTT,Jane
NSW,,The Greens,ARYA,Hawa
NSW,,The Greens,WHEELER,Danielle
NSW,,,BODDY,Max
NSW,,,GRENFELL,Oscar
NSW,,Liberal,PAYNE,Marise
NSW,,The Nationals,CADELL,Ross
