party_ab,party_name,aliases,byline_tokens
LNP,Liberal National Party of Queensland,,liberal+national
AJP,Animal Justice Party,,animal+justice
UAPP,United Australia Party,,united+australia
ON,Pauline Hanson's One Nation,One Nation,one+nation
LDP,Liberal Democrats,,liberal+democrats
JLN,Jacqui Lambie Network,,jacqui+lambie
KAP,Katter's Australian Party (KAP),Katter's Australian Party,katter
ALP,Australian Labor Party,Labor|A.L.P.,labor
LP,Liberal Party of Australia,Liberal|Liberals,liberal
GRN,The Greens,The Greens (WA)|Queensland Greens|The Australian Greens|The Greens NSW,greens
NP,The Nationals,National Party|The Nationals,nationals
GVIC,The Greens (Victoria),,
IND,Independent,,
XEN,Centre Alliance,,
CLP,Country Liberal Party,NT CLP,
DHJP,Derryn Hinch's Justice Party,,
DPDA,Drew Pavlou Democratic Alliance,Democratic Alliance,
GAP,The Great Australian Party,,
TNL,TNL,The New Liberals,
SAL,Socialist Alliance,,
VNS,Victorian Socialists,,
SPP,Sustainable Australia Party,Sustainable Australia Party - Stop Overdevelopment / Corruption,
HMP,Legalise Cannabis Australia,,
REAS,Reason Australia,Reason Party,
CEC,Citizens Party,Citizens Electoral Council|Citizens Party,
CYA,Australian Federation Party,,
AUC,Australian Christians,,
AUD,Australian Democrats,,
AUP,Australian Progressives,,
AUVA,Australian Values Party,,
ASP,Shooters Fishers and Farmers Party,,
IAP,Indigenous - Aboriginal Party of Australia,,
IMO,Informed Medical Options Party,,
SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",,
TLOC,The Local Party,,
WAP,Western Australia Party,,
