bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
100% Renewable Community Campaign Public Fund,transitional,199,24150.5,14892.166666666666,9166.5,0.6155249404049109,2.120898418944168,0.6672946594527176
1in50 Incorporated,election_only,239,21330.5,20835.5,0.0,0.0,-5.113856158959468,0.803313224655405
350.org Australia,ongoing,152,35524.0,2677.166666666667,32930.0,12.300317499844361,14.295230160327538,0.3393902264705427
ABC Friends,election_only,864,146068.0,141579.4583333333,49.5,0.00034962699096826374,-6.731082538146185,0.740499616502641
ACCIONA Australia,election_only,81,8809.5,0.0,8809.5,,13.76743856064476,0.47048313228289396
ACF Community Geelong,election_only,52,4074.0,4074.0,0.0,0.0,-10.802405498281788,0.5845228654507006
ACT Government,ongoing,96,15552.0,921.4166666666667,15026.375,16.307904494890114,19.906325289850177,0.16969445601413977
ActionAid Australia,ongoing,742,72529.0,27508.291666666664,46149.375,1.6776532530343125,4.542652350545737,0.41682099680220497
Advance Australia,election_only,613,284893.5,273237.125,31669.375,0.11590436328884664,-12.092769090883676,0.37462568841061106
Advocacy Tasmania,transitional,34,6183.0,3570.9583333333335,2566.416666666667,0.7186912943537567,-0.09060702429202852,0.40875510770009643
Alan Harris,off_campaign,20,2290.0,0.0,2290.0,,19.6983780411728,0.2423700753395077
Alex Antic,transitional,21,16339.5,10220.125,7881.5,0.7711745208595785,-8.719230021771923,0.5373790890457212
Amnesty International Australia,election_only,2262,854819.0,736335.7916666666,155919.2916666667,0.21175025502121744,-10.954066219879174,0.441121226624947
Ananda Ranga Lalbahadur Sunkanpally,off_campaign,30,2185.0,0.0,2185.0,,19.450474011114743,0.251904845726356
Andrew Wines,transitional,62,3269.0,1965.5,1365.375,0.694670567285678,-4.801162285757176,0.51591606502103
Anglican Aid,election_only,64,3168.0,0.0,3229.875,,13.676518883415435,0.47398004294556023
Animals Australia,transitional,572,51114.0,23745.791666666664,16839.166666666668,0.7091431990580789,9.124889103149728,0.5721693466501425
Anita Dow MP,transitional,25,1237.5,940.5,297.0,0.3157894736842105,-6.734285714285715,0.551098901098901
Annastacia Palaszczuk MP,ongoing,58,12571.0,1645.5,11116.75,6.755849285931328,12.108985391253409,0.4011173241079803
Anthony J Snowden,ongoing,65,3217.5,140.25,2998.875,21.38235294117647,14.828421250234651,0.42531515790385693
Arcstream,election_only,95,5302.5,5302.5,0.0,0.0,-8.085289957567186,0.6890273093243391
Armenian National Committee of Australia,transitional,188,9406.0,5363.5,3964.125,0.7390929430409248,-0.7507499803770289,0.47487928375346117
Ashlan Rose Waldock,off_campaign,145,7277.5,9530.083333333334,0.0,0.0,-25.43248072832022,0.031318287347440604
Asylum Seeker Resource Centre (ASRC),transitional,890,114155.0,82369.95833333334,34401.83333333333,0.41765024566501024,-5.81534715071282,0.4832560607976189
Australasian Centre for Corporate Responsibility,transitional,44,6178.0,3860.75,2271.458333333333,0.5883463921086144,-0.8665622867548499,0.49377778697015234
Australia Beyond Coal ,election_only,162,70419.0,72264.125,0.0,0.0,-3.345662279074951,0.8713206815740403
Australia for UNHCR,transitional,1331,514934.5,332482.7916666667,185118.08333333334,0.5567749308328864,-2.099376269500354,0.6101562566269809
Australian Automobile Association,election_only,1397,128001.5,109358.04166666667,18631.0,0.1703669864241808,-3.621363696547868,0.6994922552803974
Australian Childhood Foundation,ongoing,44,13278.0,6617.0,8075.333333333333,1.2203919198025288,-8.88254807333919,0.5630802314730441
Australian Christian Lobby,transitional,187,274256.5,178103.95833333334,87938.45833333333,0.49374791642053617,0.9468817248663759,0.6290400606372778
Australian Christians,election_only,36,5882.0,4997.125,656.75,0.131425569702579,-3.3719099100806336,0.8082074897091147
Australian Conservation Foundation,transitional,2229,644985.5,404387.9583333333,262300.75,0.6486364012446382,-3.855876220449605,0.5388044752687946
Australian Council of Social Service,election_only,56,7772.0,7896.75,0.0,0.0,-8.40757725827533,0.6766316439124874
Australian Council of Trade Unions,election_only,43,21678.5,19928.999999999996,0.0,0.0,-6.275329503069228,0.7589154984627663
Australian Counselling Association,election_only,22,1789.0,1789.0,0.0,0.0,-8.214285714285714,0.6840659340659341
Australian Democracy Network,election_only,38,6581.0,6988.583333333333,0.0,0.0,-3.3362047965985338,0.8716844309000565
Australian Democrats,election_only,115,54442.5,38526.875,5097.0,0.13229726002952485,-9.243384363439034,0.5688112668249692
Australian Education Union,election_only,255,253022.5,253442.95833333334,0.0,0.0,-5.134447976306871,0.8025212316805052
Australian Education Union Federal Branch,election_only,64,19318.0,20115.958333333332,0.0,0.0,-2.0337045836328125,0.9217805929371996
Australian Education Union Tasmania,transitional,116,8842.0,5053.708333333334,2159.2916666666665,0.42726875479227294,4.632397357944979,0.6922039990371476
Australian Education Union Victorian Branch,ongoing,178,85261.0,45780.95833333333,43114.25,0.941750709674601,-0.3192386434134094,0.08271932006619619
Australian Ethical Investment,transitional,599,153550.5,103449.45833333333,53188.416666666664,0.5141488174378229,-2.455292372690224,0.5166218733926257
Australian Federation of Islamic Councils,off_campaign,106,5247.0,5247.0,0.0,0.0,-17.044474393530994,0.3444432925565001
Australian Manufacturing Workers' Union,election_only,38,3681.0,2196.75,0.0,0.0,-1.1782665951324196,0.9546820540333686
Australian Marine Conservation Society,election_only,100,25350.0,19713.583333333332,4843.625,0.24569987698837098,-3.9310211263252888,0.6714605610958174
Australian Museum,ongoing,141,11079.5,4626.416666666667,5899.458333333333,1.2751679665687985,5.1691681553450755,0.5095848313098661
Australian Nursing and Midwifery Federation,election_only,45,44977.5,45431.958333333336,0.0,0.0,-11.486521117594874,0.5582107262463509
Australian Parents for Climate Action,election_only,408,47596.0,47521.0,0.0,0.0,-9.04280363267969,0.6522141685885083
Australian Renewable Energy Agency,ongoing,63,3218.5,977.625,2249.125,2.3006009461705665,5.567383147572192,0.4079481957571367
Australian Unions,ongoing,545,543427.5,254071.45833333334,279550.7083333334,1.1002837948313426,-1.180381965909444,0.6351390111522125
Australian Workers Union ,transitional,141,14379.5,8808.208333333334,5079.541666666666,0.5766827343812825,1.8474923515156811,0.7765290160386559
Australian Workers' Union - NSW Branch,election_only,30,1685.0,1651.8333333333333,0.0,0.0,-5.931670438329706,0.7718588292950114
Australian Youth Climate Coalition,election_only,179,42160.5,33619.083333333336,6700.708333333333,0.19931264237325524,-5.762064152294343,0.5769297032055706
Autism Spectrum Australia (Aspect),off_campaign,20,9640.0,10460.0,1795.0,0.17160611854684513,-21.074771230401588,0.14337240686689887
BPH ENERGY LTD,ongoing,241,60929.5,1722.25,59821.75,34.734649441138046,8.871778727414533,0.6526060422419125
Bank Australia,ongoing,461,263669.5,81531.0,187905.91666666666,2.3047174285445617,7.3748090428977084,0.5672457316721297
Baptist World Aid Australia,election_only,164,18418.0,14867.166666666666,3799.75,0.25557996928354426,-5.1945739247114675,0.4322110972512977
Barnardos Australia,ongoing,92,61754.0,10851.666666666668,41602.5,3.833742896636461,9.653257378890867,0.6036119270355507
Barry O'Rourke MP,ongoing,51,3324.5,1458.0,1982.6666666666667,1.3598536808413353,-0.8581652918869541,0.558820206387296
Baw Baw Shire Council,ongoing,24,2088.0,998.2083333333334,1143.5,1.145552448136244,0.528297114842124,0.6289785485423702
Beau Kane Brandon Lee Brug,ongoing,76,4762.0,1381.875,3483.25,2.520669380370873,5.340055129988585,0.5151697817867751
Ben & Jerry's,transitional,27,111386.5,63140.5,48246.0,0.764105447375298,6.421276045891685,0.46223572923958517
Ben Carroll MP,ongoing,36,3282.0,388.75,2714.2083333333335,6.981886387995713,16.871472500321314,0.2929356231446978
Benjamin  Denis Roberts Yates,off_campaign,60,2970.0,0.0,2970.0,,18.002380952380953,0.3076007326007326
Benjamin John Davison,ongoing,123,14388.5,4718.541666666667,10244.458333333332,2.171106892136518,0.26662831810529464,0.7526072248053134
