bylines,mean_prob_outside,mean_prob_inside,shift,total_spend,n_ads,mean_election_prob_weighted
 اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,0.3831479611674906,,,149.5,1,0.3831479611674906
#NoNewMinesInOurVines,0.7244211068214322,,,498.0,4,0.6839879748039135
#roughit4rockingham,0.2597043276174913,,,794.0,12,0.2161766618099611
10 Sport,0.41600464250309316,,,2848.5,3,0.41600464250309316
100% Renewable Community Campaign Public Fund,0.46289401406450525,0.5679739382523531,0.10507992418784784,24150.5,199,0.513373203610882
1in50 Incorporated,0.7837851362242685,0.9943123374605982,0.21052720123632973,21330.5,239,0.8444768615320563
3 Steps Away,0.066778587698204,,,49.5,1,0.066778587698204
350.org Australia,0.7779399964215609,,,35524.0,152,0.7675296726143077
94.7 The Pulse,0.9293674577341497,,,99.0,2,0.9293674577341497
A Modern Gay's Guide,0.10036595242514394,0.7666292861801345,0.6662633337549906,2096.0,8,0.49218726171325694
AANT,0.6620461149524112,0.3905402688654759,-0.2715058460869353,792.0,16,0.5432623072893771
ABC Friends,0.8967016943234513,0.7941769260180549,-0.10252476830539636,146068.0,864,0.8424989429489897
ABC Friends Victoria Inc,0.5347337323490047,0.7186282245225605,0.1838944921735558,346.5,7,0.6135456575662429
ACCIONA Australia,0.295908707673248,,,8809.5,81,0.3454217664249222
ACF Community Geelong,0.1343979974866876,,,4074.0,52,0.14719390249123263
ACT Government,0.43280895717487533,0.8527842545922322,0.41997529741735684,15552.0,96,0.40758793822330686
AFOPA,0.7260304695853558,,,298.0,4,0.5072504877077606
AIIA,0.0021074737369419783,,,49.5,1,0.0021074737369419783
AIJAC - Australia/Israel & Jewish Affairs Council,0.42592864569772704,,,445.5,9,0.425928645697727
ALT SHIFT MELBOURNE PTY LTD,0.0013169212611831016,0.020031682252938166,0.018714760991755064,447.5,5,0.0033870456613884106
AMA ACT,,0.9909306290227021,,49.5,1,0.9909306290227021
ANTaR ,0.43954528031763834,0.43171385067337154,-0.007831429644266807,1442.5,15,0.580231610377366
"ANU Institute for Climate, Energy & Disaster Solutions",0.2605086982804138,0.0014252511480312702,-0.2590834471323825,148.5,3,0.08778640019215878
ANU for Environmental Action,0.9026401791487609,,,99.0,2,0.9026401791487609
ARN,0.07822297410136425,,,449.5,1,0.07822297410136425
ARPRA Limited,0.9995695211490281,,,49.5,1,0.9995695211490281
ARRC,0.6157284920345618,0.48886614561549846,-0.12686234641906335,148.5,3,0.5734410432282073
AST Management,0.3612771150925868,,,3896.0,8,0.3804298999847717
ATSE,4.6332382375169345e-12,,,698.0,4,6.624601376850861e-12
Aaron Cory De La Torre,0.28730708473900574,,,448.5,3,0.2676120066570364
Aaron David Harper,0.33529894328992804,0.06754671423633285,-0.2677522290535952,495.0,10,0.30852372038456843
Abigail Boyd,0.5651517541613884,0.9949217874642746,0.4297700333028862,594.0,12,0.6367800930452028
Ability Gateway,0.010494801015134114,,,49.5,1,0.010494801015134112
Action for Dolphins,0.09354524631059188,,,596.0,8,0.06216575000942792
ActionAid Australia,0.18541355818137006,0.3504971908999082,0.16508363271853815,72529.0,742,0.21457026311151214
Adam Barnett,0.8228234223755501,,,297.0,6,0.82282342237555
Adam Cecil Burling,0.6447225640866754,,,198.0,4,0.6447225640866753
Adam John Logan,,0.788230346344943,,148.5,3,0.788230346344943
Adam Lee Duncan,0.3266312894659175,,,247.5,5,0.3266312894659175
Adam Matthew Roberts,0.5734236969436485,,,297.0,6,0.5734236969436485
Adelaide Park Lands Association,0.5051435251591869,,,1247.5,5,0.37523957428132904
Adin John Lang,0.0700194023489612,,,49.5,1,0.0700194023489612
Adrian C Wolter,,0.954896242875559,,148.5,3,0.954896242875559
Adrian Melville Raedel,0.2817472687846949,,,49.5,1,0.2817472687846949
Adrian Raedel,0.8202770053578086,0.4344465502992995,-0.38583045505850905,743.5,13,0.7913140989301889
Adrian Tantari,0.5250553122125026,,,247.5,5,0.5250553122125027
Adriana Christopoulos,0.7670869741652563,,,99.0,2,0.7670869741652563
Advance Australia,0.8089677432832351,0.5633910524311075,-0.24557669085212752,284893.5,613,0.7853659890628778
Advocacy Tasmania,0.23954131476117874,0.6516145600390664,0.41207324527788763,6183.0,34,0.2996701574841004
Affinity Intercultural Foundation,0.03779126167267696,,,198.0,4,0.03779126167267696
Affordable Housing Party,0.9179619545514613,,,1147.5,5,0.9801961400139108
Ahmad Hussain Amani,0.9865261140008122,,,198.0,4,0.9865261140008122
