hashtag,count_total,election_only,transitional,ongoing,off_campaign,null
auspol,1035,544,57,156,90,188
gas,925,0,0,925,0,0
fodi22,751,751,0,0,0,0
breakfreefromplastic,734,0,0,733,0,1
topstory,320,0,0,320,0,0
morrisonmustgo,320,312,4,0,0,4
sbscantonese,289,140,149,0,0,0
federalelection,286,208,32,14,0,32
recoverrebuild,253,2,16,231,0,4
ausvotes,239,176,2,23,2,36
rebuildwithtafe,185,184,1,0,0,0
climateaction,185,128,2,17,8,30
votethemout,184,183,0,0,0,1
changetomorrow,174,0,0,0,174,0
realsolutions4allvictorians,163,3,0,157,0,3
rememberthisnovember,152,20,0,122,0,10
westernaustralia,149,0,0,143,0,6
australia,145,56,14,27,0,48
springst,142,3,0,24,95,20
podcast,141,10,0,118,0,13
vicvotes,140,0,3,6,105,26
referendum2023,140,23,0,0,117,0
yfs2022,138,0,138,0,0,0
ulurustatement,132,23,0,0,107,2
fodi,128,128,0,0,0,0
ausvotes2022,119,66,9,9,0,35
architectural,113,0,0,113,0,0
architect,113,0,0,113,0,0
whalesnotwoodside,113,0,0,113,0,0
architecture,109,0,0,109,0,0
endwildlifetrade,109,0,0,109,0,0
vicpol,108,0,5,6,75,22
australianarchitecture,106,0,0,104,0,2
climatechange,103,41,5,19,0,38
springstreet,101,0,0,0,94,7
architects,95,0,0,95,0,0
australianarchitects,94,0,0,94,0,0
community,91,0,8,34,12,37
breaking,91,5,36,39,4,7
election2022,90,45,7,10,3,25
architectureanddesign,88,0,0,88,0,0
unimelbpursuit,88,0,0,88,0,0
fromtheheart,87,8,0,0,79,0
voicetoparliament,86,7,0,0,79,0
architecturedesign,86,0,0,86,0,0
recognition,86,7,0,0,79,0
contemporaryarchitecture,85,0,0,85,0,0
switchtosustainable,85,0,0,0,0,85
offsetcarbonemmisions,85,0,0,0,0,85
doyourbit,85,0,0,0,0,85
benambra,84,0,0,67,12,5
supercruel,84,0,0,84,0,0
notmysuper,84,0,0,84,0,0
bennelong,83,81,2,0,0,0
billtilley,83,0,0,83,0,0
sociallydemocratic,82,0,0,82,0,0
education,81,0,2,58,7,14
makingcaulfieldbettertogether,81,0,0,81,0,0
constructionindustry,80,80,0,0,0,0
election,80,1,3,33,14,29
buildingindustry,80,80,0,0,0,0
economicrecovery,79,78,0,1,0,0
federalelections2022,78,78,0,0,0,0
strongbuilding,78,78,0,0,0,0
strongbuildingstrongereconomy,78,78,0,0,0,0
design,78,1,0,77,0,0
worldrefugeeday,78,0,78,0,0,0
veryspecialkids,77,77,0,0,0,0
vote,76,1,5,15,39,16
climateactionnow,74,36,6,13,0,19
supportlocal,74,0,1,46,10,17
dunnstreet,73,0,0,73,0,0
fighting4melbsnorth,73,0,73,0,0,0
scomohastogo,72,72,0,0,0,0
victoria,71,0,1,56,3,11
fundthearts,69,69,0,0,0,0
netsoutnow,69,0,61,0,0,8
labor,68,22,4,28,2,12
futureenergy,66,0,66,0,0,0
politics,65,1,0,41,0,23
youngpeoplematter,65,0,62,1,0,2
wildlife,63,0,0,61,0,2
getthemout,62,62,0,0,0,0
moderndesign,61,0,0,61,0,0
qld,59,1,54,4,0,0
notentertainers,58,0,0,58,0,0
settlementguide,58,3,0,0,0,55
independent,58,5,0,0,22,31
battinforberwick,57,0,0,57,0,0
architecturetoday,56,0,0,56,0,0
indigenousvoice,55,18,0,2,35,0
aboriginalaustralia,54,18,0,0,35,1
preventthenextpandemic,54,0,54,0,0,0
australiandesign,53,0,0,53,0,0
building,53,0,0,53,0,0
csenergytomorrow,52,0,52,0,0,0
adelaide,52,1,0,1,29,21
campaign,51,0,0,50,1,0
timeforavoice,51,16,0,0,35,0
icymi,51,2,0,45,0,4
disability,51,29,0,1,5,16
qldenergy,51,0,51,0,0,0
architecturephotos,49,0,0,49,0,0
digitalskills,48,0,0,47,0,1
buildings,48,0,0,48,0,0
painmanagement,48,48,0,0,0,0
wollongongindependents,48,0,0,0,48,0
dayofai,48,0,0,47,0,1
migraineaustralia,48,48,0,0,0,0
wollongong,48,0,0,0,48,0
mentalhealth,48,2,0,35,2,9
chronicpainaustralia,48,48,0,0,0,0
specsolar,48,0,0,48,0,0
dayofaiaus,48,0,0,47,0,1
painaustralia,48,48,0,0,0,0
techskills,47,0,0,47,0,0
ndis,47,36,0,4,1,6
greenpeaceap,47,0,0,47,0,0
woodside,47,0,0,47,0,0
easethepain,46,46,0,0,0,0
beconsumed,46,46,0,0,0,0
auspol2022,45,26,1,3,0,15
vfc,44,0,0,0,44,0
savethekoala,44,0,0,44,0,0
koalalove,44,0,0,44,0,0
clarinda,44,0,0,0,44,0
halfcut,44,0,0,44,0,0
lethobartbloom,43,43,0,0,0,0
vfcaroline,43,0,0,0,43,0
environment,43,13,7,10,5,8
putclimatefirst,42,0,0,42,0,0
wehaveaplan,42,0,0,42,0,0
votecaroline,42,0,0,0,42,0
costoflivingcrisis,41,26,0,15,0,0
cassowary,41,0,0,41,0,0
voteindependent,40,2,0,0,29,9
wakelingforbayswater,40,0,0,40,0,0
lions,40,1,0,39,0,0
democracy,40,3,1,17,0,19
architecturedetails,40,0,0,40,0,0
budget2022,40,18,1,14,0,7
pepsico,40,0,0,40,0,0
nomorescomo,39,39,0,0,0,0
ourplanfornarracan,39,0,0,39,0,0
climate,38,15,0,13,0,10
putlaborlast,38,13,0,9,0,16
politas,38,0,1,22,7,8
toxicgas,38,0,0,38,0,0
walkaway,38,0,0,38,0,0
markswivelteam,37,0,0,0,35,2
votebradbery,37,0,0,0,37,0
hobart,37,0,0,20,7,10
banliveexport,37,0,0,18,0,19
rebuild,37,36,0,1,0,0
recover,37,36,0,1,0,0
cocacola,37,0,0,37,0,0
unilever,37,0,0,37,0,0
nestl,37,0,0,37,0,0
renewableenergy,36,2,3,24,0,7
sustainability,36,2,1,12,10,11
bantrophyhunting,36,0,0,36,0,0
abcfriends,36,36,0,0,0,0
cancelcaptivity,36,0,0,36,0,0
endliveexport,36,0,0,18,0,18
abcalumni,36,36,0,0,0,0
super,35,0,0,35,0,0
leadingwomenfund,35,0,35,0,0,0
tasmania,34,0,3,25,0,6
victorianelection,34,0,0,0,28,6
architecturelovers,34,0,0,34,0,0
southaustralia,34,9,2,2,0,21
queensland,34,1,1,25,0,7
politicalart,34,0,0,34,0,0
vote1swiv,34,0,0,0,32,2
doingwhatmatters,34,0,0,13,13,8
scottyfrommarketing,34,30,0,3,0,1
costofliving,34,17,4,8,3,2
interiorarchitecture,33,0,0,33,0,0
raisetheage,33,30,0,2,0,1
endviolence,33,0,0,0,33,0
solarsystem,33,0,0,33,0,0
medicare,32,25,0,7,0,0
fionasimpsonmp,32,0,0,32,0,0
alp,32,2,0,30,0,0
communityfirst,32,0,0,8,19,5
qldbudget,32,2,0,20,0,10
independentsday,32,29,0,0,0,3
teampalmerston,32,0,0,32,0,0
warisdumb,32,0,0,32,0,0
earlyvoting,32,0,0,0,23,9
breakthebias,31,1,3,21,3,3
fairjustsafecommunities,31,0,0,31,0,0
animalwelfare,31,0,6,0,0,25
uaplast,31,31,0,0,0,0
liberalslast,31,31,0,0,0,0
ukraine,30,5,2,19,2,2
athertontablelands,30,0,0,30,0,0
betterworldforall,30,0,0,0,30,0
naidocweek,30,0,2,18,10,0
wildlifeconservation,30,0,0,30,0,0
wematterinthewest,30,0,0,0,30,0
rainforestconservation,30,0,0,30,0,0
archdaily,30,0,0,30,0,0
organise,30,0,0,30,0,0
jeromelaxale,30,30,0,0,0,0
vote1,30,2,0,0,4,24
therealindependents,30,0,0,0,30,0
treekangaroo,30,0,0,30,0,0
union,30,0,2,23,0,5
banbatterycages,30,0,0,30,0,0
jane4adl,29,0,0,0,29,0
enough,29,29,0,0,0,0
letsgetcreative,29,0,0,29,0,0
michael4mp,29,0,0,0,29,0
lestweforget,29,1,1,25,0,2
sbs,29,15,14,0,0,0
australianpolitics,29,0,0,20,0,9
electionyear,28,28,0,0,0,0
deliveringforcanberra,28,28,0,0,0,0
victorianparliament,28,0,0,28,0,0
archilovers,28,0,0,28,0,0
parentpower,28,28,0,0,0,0
climatecrisis,28,2,9,10,0,7
eofy,28,0,4,24,0,0
scomohasgottogo,27,27,0,0,0,0
