bylines,band,group,pre_spend,post_spend,total_spend,persistence,centroid_weeks,ec_index
Amnesty International Australia,election_only,humanitarian_rights,706331.5,148487.5,854819.0,0.21175025502121744,-10.954066219879174,0.441121226624947
Solutions for Australia,election_only,climate,588735.5,67405.0,656140.5,0.12511933059317368,-1.4774111320225516,0.8520696452255426
Climate 200,election_only,political_advocacy,514056.5,115618.0,629674.5,0.22274293203429257,-5.535370709498818,0.49991071812975557
The Pharmacy Guild of Australia,election_only,cost_of_living,335291.5,0.0,335291.5,0.0,-9.633387449230163,0.6294850981065321
Smart Voting,election_only,political_advocacy,302671.5,0.0,302671.5,0.0,-1.5928905022120239,0.938734980684153
Advance Australia,election_only,political_advocacy,249974.5,34919.0,284893.5,0.11590436328884664,-12.092769090883676,0.37462568841061106
Australian Education Union,election_only,climate,253022.5,0.0,253022.5,0.0,-5.134447976306871,0.8025212316805052
It's Not A Race,election_only,political_advocacy,221677.5,0.0,221677.5,0.0,-4.459644541056149,0.8284752099593788
Chuffed.org,election_only,humanitarian_rights,171455.5,33299.5,204755.0,0.20565739831661764,-10.693799127038975,0.4716314106963115
GetUp!,election_only,political_advocacy,182691.0,21147.0,203838.0,0.11623491908221784,-3.1688067816309107,0.7675061882975321
ABC Friends,election_only,political_advocacy,146018.5,49.5,146068.0,0.00034962699096826374,-6.731082538146185,0.740499616502641
Australian Conservation Foundation,transitional,climate,387769.0,257216.5,644985.5,0.6486364012446382,-3.855876220449605,0.5388044752687946
Thrive By Five,transitional,humanitarian_rights,379709.0,233141.0,612850.0,0.731790238046772,-3.9778022848595254,0.6489392995819702
Australia for UNHCR,transitional,humanitarian_rights,332935.5,181999.0,514934.5,0.5567749308328864,-2.099376269500354,0.6101562566269809
Australian Christian Lobby,transitional,mixed,185889.5,88367.0,274256.5,0.49374791642053617,0.9468817248663759,0.6290400606372778
Greenpeace Australia Pacific,ongoing,climate,809723.0,747046.5,1556769.5,0.9106080326880873,0.007412572851986904,0.4662418624632735
Australian Unions,ongoing,political_advocacy,262517.0,280910.5,543427.5,1.1002837948313426,-1.180381965909444,0.6351390111522125
Plan International Australia,ongoing,cost_of_living,181586.5,196615.0,378201.5,1.09089183012628,1.7920956297860164,0.5986084532864416
Médecins Sans Frontières Australia,ongoing,humanitarian_rights,149037.0,157878.5,306915.5,1.123627413231443,0.6121460414955752,0.5887864124779318
Save the Children Australia,ongoing,cost_of_living,127058.5,112923.5,239982.0,0.9926192626908189,-2.426680634502884,0.505565619871214
