bylines,pac_score,band,rank,ad_title,total_spend,n_runs,example_url
Thrive By Five,0.4350181419540483,transitional,1,Let's make early learning and childcare fair for families,128700.5,399,https://www.facebook.com/ads/archive/render_ad/?id=412390237315721
Thrive By Five,0.4350181419540483,transitional,2,Country kids shouldn’t be left behind.,106430.5,39,https://www.facebook.com/ads/archive/render_ad/?id=1166489764210544
Thrive By Five,0.4350181419540483,transitional,3,Families should be able to choose what works for them,98973.5,53,https://www.facebook.com/ads/archive/render_ad/?id=560653052031850
Smart Voting,0.7854183298738604,election_only,1,"Since the Coalition took power, prices have skyrocketed. Now interest rates are ",119245.5,9,https://www.facebook.com/ads/archive/render_ad/?id=532868558346316
Smart Voting,0.7854183298738604,election_only,2,We can’t afford three more years of economic blunders. Put the Liberals last.,27993.0,14,https://www.facebook.com/ads/archive/render_ad/?id=1596238057426533
Smart Voting,0.7854183298738604,election_only,3,Morrison’s Captain’s Pick sacrificed Warringah in order to win votes elsewhere. ,17499.5,1,https://www.facebook.com/ads/archive/render_ad/?id=1060899514506948
Australian Christian Lobby,0.5430373272964539,transitional,1,{{product.name}},11249.0,2,https://www.facebook.com/ads/archive/render_ad/?id=3218662395086234
Australian Christian Lobby,0.5430373272964539,transitional,2,Crisis at Essendon Football Club. Are you next?,8249.0,2,https://www.facebook.com/ads/archive/render_ad/?id=494890065850580
Australian Christian Lobby,0.5430373272964539,transitional,3,Victoria State Election,8248.5,3,https://www.facebook.com/ads/archive/render_ad/?id=427706022868366
Australian Education Union,0.7886630482421184,election_only,1,Properly fund public schools,37498.5,3,https://www.facebook.com/ads/archive/render_ad/?id=484617223399676
Australian Education Union,0.7886630482421184,election_only,2,Australia is in the midst of a skills crisis,23497.5,5,https://www.facebook.com/ads/archive/render_ad/?id=1650023262022934
Australian Education Union,0.7886630482421184,election_only,3,High quality education for every child,21247.0,6,https://www.facebook.com/ads/archive/render_ad/?id=559547012028895
It's Not A Race,0.43909422026215694,election_only,1,Government should be about setting the right priorities and making the right dec,27337.0,26,https://www.facebook.com/ads/archive/render_ad/?id=1095141754379892
It's Not A Race,0.43909422026215694,election_only,2,We've changed!' says coalition full of climate denialists. Net zero credibility ,17542.5,15,https://www.facebook.com/ads/archive/render_ad/?id=4599599456812271
It's Not A Race,0.43909422026215694,election_only,3,"When it comes to #ClimateAction, Dave Sharma 'talks the talk', then votes exactl",13048.5,3,https://www.facebook.com/ads/archive/render_ad/?id=446789360544218
GetUp!,0.596174296334569,election_only,1,Want climate leadership? Vote for it!,18629.5,41,https://www.facebook.com/ads/archive/render_ad/?id=687338112544414
GetUp!,0.596174296334569,election_only,2,Federal Election 2022,12498.5,3,https://www.facebook.com/ads/archive/render_ad/?id=291243886329344
GetUp!,0.596174296334569,election_only,3,"We make the future. Join us this federal election.

#auspol",11498.5,3,https://www.facebook.com/ads/archive/render_ad/?id=481899086889023
ABC Friends,0.5880877091520321,election_only,1,Save our ABC,56131.5,437,https://www.facebook.com/ads/archive/render_ad/?id=3007387896169310
ABC Friends,0.5880877091520321,election_only,2,Save Our ABC,35896.0,208,https://www.facebook.com/ads/archive/render_ad/?id=1328906607622121
ABC Friends,0.5880877091520321,election_only,3,Kerry O’Brien stars in call-to-arms video just in time for election,18246.5,7,https://www.facebook.com/ads/archive/render_ad/?id=754294482252352
Australian Automobile Association,0.6086617207047835,election_only,1,This Election Demand Better,92086.5,1127,https://www.facebook.com/ads/archive/render_ad/?id=1128492284641743
Australian Automobile Association,0.6086617207047835,election_only,2,Australian Automobile Association,17034.5,231,https://www.facebook.com/ads/archive/render_ad/?id=613639567010226
Australian Automobile Association,0.6086617207047835,election_only,3,Australian Automobile,9645.0,10,https://www.facebook.com/ads/archive/render_ad/?id=622818909152970
TAB,0.6628524479683938,election_only,1,Australian Election Markets,59093.5,13,https://www.facebook.com/ads/archive/render_ad/?id=547752386733803
TAB,0.6628524479683938,election_only,2,Australian Election Markets ,32498.5,3,https://www.facebook.com/ads/archive/render_ad/?id=1032163857400427
TAB,0.6628524479683938,election_only,3,If you could add any of these names to your ballot paper who are you choosing as,549.5,1,https://www.facebook.com/ads/archive/render_ad/?id=395601649129908
Cancer Council SA,0.30898432021273076,transitional,1,Choose water instead,4948.5,3,https://www.facebook.com/ads/archive/render_ad/?id=2095472427287605
Cancer Council SA,0.30898432021273076,transitional,2,Don't Miss Your Chance To Get A FREE Host Kit!,4797.0,6,https://www.facebook.com/ads/archive/render_ad/?id=656478692082860
Cancer Council SA,0.30898432021273076,transitional,3,Make a hairy sacrifice,3348.5,3,https://www.facebook.com/ads/archive/render_ad/?id=769272227777325
