bylines,total_spend,band,ec_index,mean_prob_pre,pac_score
Greenpeace Australia Pacific,1556769.5,ongoing,0.4662418624632735,0.0934891238148991,0.043588543207518135
Amnesty International Australia,854819.0,election_only,0.441121226624947,0.5945551547415484,0.262270899155777
Solutions for Australia,656140.5,election_only,0.8520696452255426,0.4716637587060462,0.4018903715464067
Australian Conservation Foundation,644985.5,transitional,0.5388044752687946,0.2433939741067107,0.13114176250215284
Climate 200,629674.5,election_only,0.4999107181297555,0.8470311871206333,0.4234399690317751
Thrive By Five,612850.0,transitional,0.6489392995819702,0.670352592660478,0.4350181419540483
Australian Unions,543427.5,ongoing,0.6351390111522125,0.5561502700106792,0.35323273254661874
Australia for UNHCR,514934.5,transitional,0.6101562566269809,0.345543345240822,0.21083543403450444
Future Super,402754.0,ongoing,0.4886853718739345,0.006898140941775,0.0033710205713701285
Plan International Australia,378201.5,ongoing,0.5986084532864416,0.2909853985526358,0.1741863193565321
The Pharmacy Guild of Australia,335291.5,election_only,0.6294850981065321,0.4579150605813022,0.2882507068344796
Médecins Sans Frontières Australia,306915.5,ongoing,0.5887864124779318,0.3888751990354812,0.22896443334174266
Smart Voting,302671.5,election_only,0.938734980684153,0.8366773860940444,0.7854183298738604
Victorian Electoral Commission,290254.0,election_only,0.4094707174178848,,
Advance Australia,284893.5,election_only,0.374625688410611,0.5633910524328344,0.2110607608620292
Our Watch,276536.0,ongoing,0.1450094042959821,,
Australian Christian Lobby,274256.5,transitional,0.6290400606372778,0.8632794018656064,0.5430373272964539
Bank Australia,263669.5,ongoing,0.5672457316721297,0.5113424457655804,0.29005681978331294
Oxfam Australia,263180.5,ongoing,0.5539531531370776,0.3345635609672269,0.18533253952256423
Australian Education Union,253022.5,election_only,0.8025212316805052,0.982731692457074,0.7886630482421184
