topic_id,top_terms,top_bylines,label
0,climate sign oceans action change ocean global australia treaty crisis petition world act leaders clean,Greenpeace Australia Pacific|The Climate Council|Australian Conservation Foundation|Comms Declare Inc|Oxfam Australia,
1,violence child children domestic women abuse support stop girls sex sexual end name safe add,St Vincent de Paul Society in Australia|Destiny Rescue|Save the Children Australia|Plan International Australia|NATIONAL ZAKAT FOUNDATION INCORPORATED,
2,australia woodside project environment nature laws save join gas festival tell wildlife message habitat sign,Festival of Dangerous Ideas|Greenpeace Australia Pacific|Australian Conservation Foundation|The Wilderness Society|Bank Australia,
3,energy coal electricity renewable power agl australia green clean climate future zero switch sustainability genus,Greenpeace Australia Pacific|Solutions for Australia|Genus Earth Pty Ltd|BPH ENERGY LTD|Brighter Directions,
4,early learning childcare fair sign vaccine climb every free australians life choose family christmas families,Thrive By Five|Australian Conservation Foundation|Prime Super|Advance Australia|Greenpeace Australia Pacific,
5,climate change australia carbon forests native tax 30 action offset wrc energy trees restore life,Greenfleet|Peter James Hood|School for Life Foundation|The Wilderness Society|Save the Children Australia,
6,women government support vote early morrison rights educators ward childhood local change australia council sign,Thrive By Five|UN Women Australia|Animals Australia|Australian Education Union|ActionAid Australia,
7,support labor quiz government australian first andrews victoria free action victorians minute rights nations campaign,Amnesty International Australia|Rebecca M Thistleton|Wesa Chau for Prahran|Australian Automobile Association|Gordon Rich-Phillips MLC,
8,support health children donate life provide refugees families women ukraine donation lives government food many,Australia for UNHCR|Asylum Seeker Resource Centre (ASRC)|Amnesty International Australia|Oxfam Australia|Médecins Sans Frontières Australia,
9,protect sign species australian wildlife save animals native feral petition women future living nature stop,Invasive Species Council|Australian Conservation Foundation|Oxfam Australia|Amnesty International Australia|The Wilderness Society,
10,australia government jobs clean electric batteries refining minerals australian federal 10 tech world secure thousands,Solutions for Australia|World Transformation Movement|Australian Conservation Foundation|Private Media|Invasive Species Council,
11,sign petition share government woodside stop abc tell australia enough gas demand australian world urgent,Greenpeace Australia Pacific|Oxfam Australia|ABC Friends|The Wilderness Society|Australian Conservation Foundation,
12,super future join industry switch forestry ethical products tasmania world forest 2022 tasmanian positive australian,Australian Ethical Investment|Prime Super|The Wilderness Society|Impact X Pty Ltd|Future Super,
13,donate australia ocean election day protect every oceans government tickets good news climate 2022 nsw,Private Media|Australian Automobile Association|Greenpeace Australia Pacific|National Youth Commission Australia|Parliament House of Cards Pty Ltd,
14,women club nike covid 19 petition support clothes sign golf bill brands paid wearing stop,ActionAid Australia|Danny Pearson MP for Essendon|Minh Bao Nguyen|Amnesty International Australia|Invasive Species Council,
15,sign gas woodside plastic use single project waste whales donate climate share stop plastics marine,Greenpeace Australia Pacific|National Retail Association|Comms Declare Inc|The Wilderness Society|Daniel Andrews MP,
16,home support government free morrison young family kids product day great first reef work minister,Private Media|Greenpeace Australia Pacific|Amnesty International Australia|Victorian Electoral Commission|National Youth Commission Australia,
17,community local council vote city state mp 2022 government parliament school work labor road mayor,The Australian Institute of Architects|Private Media|Jackson Taylor MP|Parliament of Victoria|Nick Wakeling MP,
18,vote election care solar australia better party change climate power australian workers government labor independent,Australian Automobile Association|Climate 200|Private Media|United Workers Union|Goods International Pty Ltd,
19,cost medicines prescription australians visit living canberra site choose shouldn pay ever lower essentials rising,The Pharmacy Guild of Australia|UN Women Australia|Oxfam Australia|Rebecca Connell|OZ Arab Media,
